"REF_DATE","GEO","DGUID","Immigrant status","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","26121.8","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4346.9","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14115.8","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040059","1.1.1.1.4","7659.1","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Males","15 years and over","Persons","249","thousands","3","v53040060","1.1.1.2.1","12854.2","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040061","1.1.1.2.2","2221.5","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040062","1.1.1.2.3","7050.8","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Males","55 years and over","Persons","249","thousands","3","v53040063","1.1.1.2.4","3581.9","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Females","15 years and over","Persons","249","thousands","3","v53040064","1.1.1.3.1","13267.6","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040065","1.1.1.3.2","2125.4","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Females","25 to 54 years","Persons","249","thousands","3","v53040066","1.1.1.3.3","7065.0","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Females","55 years and over","Persons","249","thousands","3","v53040067","1.1.1.3.4","4077.2","","","","1"
"2006","Canada","2016A000011124","Total population","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v53040068","1.1.2.1.1","17482.3","","","","1"
"2006","Canada","2016A000011124","Total population","Labour force","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040069","1.1.2.1.2","2905.7","","","","1"
"2006","Canada","2016A000011124","Total population","Labour force","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040070","1.1.2.1.3","12142.7","","","","1"
"2006","Canada","2016A000011124","Total population","Labour force","Both sexes","55 years and over","Persons","249","thousands","3","v53040071","1.1.2.1.4","2433.9","","","","1"
"2006","Canada","2016A000011124","Total population","Labour force","Males","15 years and over","Persons","249","thousands","3","v53040072","1.1.2.2.1","9297.8","","","","1"
"2006","Canada","2016A000011124","Total population","Labour force","Males","15 to 24 years","Persons","249","thousands","3","v53040073","1.1.2.2.2","1484.1","","","","1"
"2006","Canada","2016A000011124","Total population","Labour force","Males","25 to 54 years","Persons","249","thousands","3","v53040074","1.1.2.2.3","6418.4","","","","1"
"2006","Canada","2016A000011124","Total population","Labour force","Males","55 years and over","Persons","249","thousands","3","v53040075","1.1.2.2.4","1395.4","","","","1"
"2006","Canada","2016A000011124","Total population","Labour force","Females","15 years and over","Persons","249","thousands","3","v53040076","1.1.2.3.1","8184.5","","","","1"
"2006","Canada","2016A000011124","Total population","Labour force","Females","15 to 24 years","Persons","249","thousands","3","v53040077","1.1.2.3.2","1421.6","","","","1"
"2006","Canada","2016A000011124","Total population","Labour force","Females","25 to 54 years","Persons","249","thousands","3","v53040078","1.1.2.3.3","5724.4","","","","1"
