province_id,province_name,lat,lng
ON,Ontario,43.7417,-79.3733
QC,Quebec,45.5089,-73.5617
BC,British Columbia,49.25,-123.1
AB,Alberta,51.05,-114.0667
AB,Alberta,53.5344,-113.4903
ON,Ontario,45.4247,-75.695
ON,Ontario,43.6,-79.65
MB,Manitoba,49.8844,-97.1464
QC,Quebec,46.8139,-71.2081
ON,Ontario,43.2567,-79.8692
ON,Ontario,43.6833,-79.7667
BC,British Columbia,49.19,-122.8489
ON,Ontario,43.4186,-80.4728
QC,Quebec,45.5833,-73.75
NS,Nova Scotia,44.6475,-63.5906
ON,Ontario,42.9836,-81.2497
BC,British Columbia,48.4283,-123.3647
ON,Ontario,43.8767,-79.2633
ON,Ontario,43.1833,-79.2333
ON,Ontario,43.06,-79.1067
ON,Ontario,43.8333,-79.5
QC,Quebec,45.4833,-75.65
ON,Ontario,42.2833,-83
SK,Saskatchewan,52.1333,-106.6833
QC,Quebec,45.5333,-73.5167
BC,British Columbia,49.2667,-122.9667
SK,Saskatchewan,50.4547,-104.6067
BC,British Columbia,49.1667,-123.1333
ON,Ontario,43.8667,-79.4333
ON,Ontario,43.45,-79.6833
ON,Ontario,43.3167,-79.8
ON,Ontario,44.3711,-79.6769
ON,Ontario,43.9,-78.85
QC,Quebec,45.4,-71.9
QC,Quebec,48.4167,-71.0667
QC,Quebec,46.8,-71.1833
BC,British Columbia,49.8881,-119.4956
BC,British Columbia,49.05,-122.3167
BC,British Columbia,49.2839,-122.7919
QC,Quebec,46.35,-72.55
ON,Ontario,43.55,-80.25
ON,Ontario,43.3972,-80.3114
ON,Ontario,43.8833,-78.9417
ON,Ontario,43.8583,-79.0364
BC,British Columbia,49.1044,-122.5827
BC,British Columbia,48.484,-123.381
QC,Quebec,45.7,-73.6333
ON,Ontario,43.5083,-79.8833
NL,Newfoundland and Labrador,47.4817,-52.7971
NB,New Brunswick,46.1328,-64.7714
ON,Ontario,48.3822,-89.2461
NB,New Brunswick,46.0989,-64.7242
ON,Ontario,43.4667,-80.5167
BC,British Columbia,49.0847,-123.0586
ON,Ontario,42.4229,-82.1324
AB,Alberta,52.2681,-113.8111
BC,British Columbia,50.6761,-120.3408
ON,Ontario,43.1667,-80.25
NS,Nova Scotia,46.1389,-60.1931
AB,Alberta,49.6942,-112.8328
QC,Quebec,45.3167,-73.2667
ON,Ontario,43.935,-78.6083
ON,Ontario,43.8354,-79.089
BC,British Columbia,49.1642,-123.9364
ON,Ontario,46.49,-81.01
BC,British Columbia,49.3641,-123.0066
QC,Quebec,45.4667,-73.45
QC,Quebec,45.7333,-73.4667
ON,Ontario,44.05,-79.4667
BC,British Columbia,49.1577,-121.9509
BC,British Columbia,49.025,-122.8028
BC,British Columbia,49.2167,-122.6
ON,Ontario,44.3,-78.3167
ON,Ontario,44.35,-78.75
BC,British Columbia,53.9169,-122.7494
ON,Ontario,46.5333,-84.35
ON,Ontario,42.9994,-82.3089
AB,Alberta,57.6042,-111.3284
BC,British Columbia,49.2069,-122.9111
QC,Quebec,45.38,-73.75
QC,Quebec,45.7833,-74
QC,Quebec,45.8833,-72.4833
NB,New Brunswick,45.2806,-66.0761
ON,Ontario,43.8667,-79.8667
AB,Alberta,53.6303,-113.6258
QC,Quebec,45.4,-72.7333
AB,Alberta,50.0417,-110.6775
AB,Alberta,55.1708,-118.7947
ON,Ontario,42.775,-81.1833
AB,Alberta,51.2917,-114.0144
ON,Ontario,43.63,-79.95
QC,Quebec,45.6167,-72.95
QC,Quebec,45.2167,-72.5167
BC,British Columbia,49.2625,-122.7811
NB,New Brunswick,45.9636,-66.6431
QC,Quebec,45.67,-73.88
ON,Ontario,44,-79.4667
ON,Ontario,42.9833,-79.2333
ON,Ontario,46.3,-79.45
QC,Quebec,45.5667,-73.2
ON,Ontario,44.1667,-77.3833
QC,Quebec,45.65,-74.0833
QC,Quebec,46.5667,-72.75
QC,Quebec,45.4833,-73.8167
MB,Manitoba,49.8483,-99.95
QC,Quebec,48.45,-68.53
ON,Ontario,45.0275,-74.74
ON,Ontario,43.9667,-79.25
ON,Ontario,44.3,-79.4333
QC,Quebec,46.05,-71.9667
BC,British Columbia,50.267,-119.272
BC,British Columbia,48.7787,-123.7079
QC,Quebec,45.57,-73.9
ON,Ontario,44.1833,-77.5667
PE,Prince Edward Island,46.2403,-63.1347
QC,Quebec,45.75,-73.6
BC,British Columbia,49.3667,-123.1667
QC,Quebec,45.25,-74.13
QC,Quebec,48.2333,-79.0167
ON,Ontario,48.4667,-81.3333
QC,Quebec,46.0333,-73.1167
ON,Ontario,44.0833,-79.75
ON,Ontario,43.1306,-80.7467
QC,Quebec,45.6,-73.45
BC,British Columbia,49.1337,-122.3112
QC,Quebec,45.4,-74.0333
ON,Ontario,43.1167,-80.3667
ON,Ontario,42.2399,-82.6511
ON,Ontario,44.3,-79.5833
SK,Saskatchewan,53.2,-105.75
